city,timestamp,temperature,season
New York,2010-01-01,3.03259961247257,winter
New York,2010-01-02,-2.33645778230457,winter
New York,2010-01-03,-0.5902737138102758,winter
New York,2010-01-04,-4.3125836540534745,winter
New York,2010-01-05,3.206715795632328,winter
New York,2010-01-06,-8.42450466981645,winter
New York,2010-01-07,-1.1260930049873588,winter
New York,2010-01-08,-0.3990055550060772,winter
New York,2010-01-09,4.985938864403959,winter
New York,2010-01-10,-2.7445095595089413,winter
New York,2010-01-11,1.6192691103495536,winter
New York,2010-01-12,5.275678747099242,winter
New York,2010-01-13,6.794419608434211,winter
New York,2010-01-14,-1.0196306822285048,winter
New York,2010-01-15,5.300932860299646,winter
New York,2010-01-16,4.760785739348701,winter
New York,2010-01-17,0.8999844226679354,winter
New York,2010-01-18,5.463409452235095,winter
New York,2010-01-19,-5.138033000782611,winter
New York,2010-01-20,5.951128637276394,winter
New York,2010-01-21,4.756007346244958,winter
New York,2010-01-22,5.718281047295654,winter
New York,2010-01-23,-0.5500062980696765,winter
New York,2010-01-24,-0.4916479178885359,winter
New York,2010-01-25,1.8930686803537122,winter
New York,2010-01-26,-1.1024824502982762,winter
New York,2010-01-27,6.247747587814123,winter
New York,2010-01-28,-0.2644698298994278,winter
New York,2010-01-29,-7.695830729245241,winter
New York,2010-01-30,4.744638505252286,winter
New York,2010-01-31,-4.314368390508364,winter
New York,2010-02-01,0.32690074385296386,winter
New York,2010-02-02,3.6075265632945,winter
New York,2010-02-03,-7.646685899677293,winter
New York,2010-02-04,-1.8593806920199731,winter
New York,2010-02-05,-0.5660771301059931,winter
New York,2010-02-06,0.28600649910146186,winter
New York,2010-02-07,-2.4083619599459354,winter
New York,2010-02-08,-1.5161794608548285,winter
New York,2010-02-09,12.146593790830932,winter
New York,2010-02-10,1.4037617988207232,winter
New York,2010-02-11,-0.3252090285814582,winter
New York,2010-02-12,4.397670998766522,winter
New York,2010-02-13,5.797537164936909,winter
New York,2010-02-14,-1.0402972378881767,winter
New York,2010-02-15,-5.336487509031126,winter
New York,2010-02-16,2.4419235131967056,winter
New York,2010-02-17,6.964153618966458,winter
New York,2010-02-18,-0.15424468435722472,winter
New York,2010-02-19,0.5823261542204269,winter
New York,2010-02-20,-1.925792263103177,winter
New York,2010-02-21,11.736670116286998,winter
New York,2010-02-22,2.479700698546111,winter
New York,2010-02-23,-1.0589840518584128,winter
New York,2010-02-24,-8.280099757866239,winter
New York,2010-02-25,-6.052030281598178,winter
New York,2010-02-26,-13.508860890396058,winter
New York,2010-02-27,14.55369230614471,winter
New York,2010-02-28,-5.199454534845016,winter
New York,2010-03-01,10.857619090104338,spring
New York,2010-03-02,4.842795952042941,spring
New York,2010-03-03,0.4988683859789733,spring
New York,2010-03-04,9.848247934801998,spring
New York,2010-03-05,3.8649232688986457,spring
New York,2010-03-06,0.10002902981835704,spring
New York,2010-03-07,11.950513639972115,spring
New York,2010-03-08,8.066594495685019,spring
New York,2010-03-09,9.424586784458663,spring
New York,2010-03-10,3.6996886742856496,spring
New York,2010-03-11,15.397781760804728,spring
New York,2010-03-12,8.03477560694221,spring
New York,2010-03-13,6.382029701151079,spring
New York,2010-03-14,4.141243546188772,spring
New York,2010-03-15,11.475889240028208,spring
New York,2010-03-16,5.50435705634477,spring
New York,2010-03-17,1.3698095334527483,spring
New York,2010-03-18,12.602208078053701,spring
New York,2010-03-19,10.14401780753452,spring
New York,2010-03-20,7.479465422775303,spring
New York,2010-03-21,3.101675395114698,spring
New York,2010-03-22,6.691990572629855,spring
New York,2010-03-23,6.866531407863999,spring
New York,2010-03-24,17.198810959905867,spring
New York,2010-03-25,10.36086943533942,spring
New York,2010-03-26,8.80694840478899,spring
New York,2010-03-27,10.350469324549225,spring
New York,2010-03-28,9.768070116668671,spring
New York,2010-03-29,12.814900138763626,spring
New York,2010-03-30,18.654193504832246,spring
New York,2010-03-31,-0.5664944658017901,spring
New York,2010-04-01,14.835448078322512,spring
New York,2010-04-02,10.09003017824245,spring
New York,2010-04-03,13.533828874468815,spring
New York,2010-04-04,10.324225813565771,spring
New York,2010-04-05,18.4406996218224,spring
New York,2010-04-06,3.8629046325353364,spring
New York,2010-04-07,19.56764244863322,spring
New York,2010-04-08,6.005157592284317,spring
New York,2010-04-09,16.650829653391874,spring
New York,2010-04-10,14.699369547913497,spring
New York,2010-04-11,7.678971574707934,spring
New York,2010-04-12,14.05116828687305,spring
New York,2010-04-13,5.458723349583056,spring
New York,2010-04-14,21.46559535227565,spring
